id,status,from,to,subject,cycle_or_level
FR1S_SW_129,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.10,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.10,français,7eme_EB
FR1S_KK_130,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.13,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.13,français,7eme_EB
FR2S_FR_131,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.8,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.8,français,8eme_EB
FR2S_EN_132,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,français,8eme_EB
FR2S_LN_133,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.11,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.11,français,8eme_EB
FR2S_SW_134,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.14,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.14,français,8eme_EB
FR2S_TSH_135,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.16,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.16,français,8eme_EB
FR3S_FR_136,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.7,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.7,français,1ere_HS
FR3S_EN_137,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.9,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.9,français,1ere_HS
FR3S_LN_138,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.10,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.10,français,1ere_HS
FR3S_SW_139,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.11,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.11,français,1ere_HS
FR3S_KK_140,kept,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,Cahier-de-lapprenant-_-Francais-CRS-N2.pdf#p.12,français,1ere_HS
