id,file_path,titre,source_url,langue,grade_level,matiere,type_doc,checksum,licence,ingested,validated,notes
PROGRAMME-HPR.pdf,PROGRAMME HPR,Programme Hpr,https://educrdc.cd/programmes,francais,general,general,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
PROGRAMME-IFME-VF.pdf,PROGRAMME IFME VF,Programme Ifme Vf,https://educrdc.cd/programmes,francais,general,general,programme,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
GEOGRAPHIE.pdf,GEOGRAPHIE,Geographie,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
HISTOIRE.pdf,HISTOIRE,Histoire,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
ELECTRICITE.pdf,ELECTRICITE,Electricite,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
ELECTRONIQUE.pdf,ELECTRONIQUE,Electronique,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
PETROCHIMIE.pdf,PETROCHIMIE,Petrochimie,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
INFORMATIQUE-ENSEIGEMENT-PRIMAIRE.pdf,INFORMATIQUE ENSEIGEMENT PRIMAIRE,Informatique Enseigement Primaire,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
INFORMATIQUE-ENSEIGNEMENT-SECONDAIRE.pdf,INFORMATIQUE ENSEIGNEMENT SECONDAIRE,Informatique Enseignement Secondaire,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
EDUCATION-CIVIQUE-ET-MORALE-PRIMAIRE.pdf,EDUCATION CIVIQUE ET MORALE PRIMAIRE,Education Civique Et Morale Primaire,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
EDUCATION-CIVIQUE-ET-MORALE-SECONDAIRE.pdf,EDUCATION CIVIQUE ET MORALE SECONDAIRE,Education Civique Et Morale Secondaire,https://educrdc.cd/programmes,francais,general,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
Cahier-de-lapprenant-_-Lingala-CRS-N1.pdf,Cahier de lapprenant   Lingala CRS N1,Cahier De Lapprenant   Lingala Crs N1,https://educrdc.cd/programmes,lingala,CRS,general,document,pending_local,MEPST-RDC,true,true,Auto-enrichi le 2025-08-29
